code,foodName,details.description,details.group,details.previous,details.references,details.footnote,factors.edibleProportion,factors.specificGravity,factors.totalSolids,factors.nitrogenConversionFactor,factors.glycerolConversionFactor,proximates.WATER,proximates.TOTNIT,proximates.PROT,proximates.FAT,proximates.CHO,proximates.KCALS,proximates.KJ,proximates.STAR,proximates.OLIGO,proximates.TOTSUG,proximates.GLUC,proximates.GALACT,proximates.FRUCT,proximates.SUCR,proximates.MALT,proximates.LACT,proximates.ALCO,proximates.ENGFIB,proximates.AOACFIB,proximates.SATFAC,proximates.SATFOD,proximates.TOTn6PFAC,proximates.TOTn6PFOD,proximates.TOTn3PFAC,proximates.TOTn3PFOD,proximates.MONOFACc,proximates.MONOFODc,proximates.MONOFAC,proximates.MONOFOD,proximates.POLYFACc,proximates.POLYFODc,proximates.POLYFAC,proximates.POLYFOD,proximates.SATFACx6,proximates.SATFODx6,proximates.TOTBRFAC,proximates.TOTBRFOD,proximates.FACTRANS,proximates.FODTRANS,proximates.CHOL,inorganics.NA,inorganics.K,inorganics.CA,inorganics.MG,inorganics.P,inorganics.FE,inorganics.CU,inorganics.ZN,inorganics.CL,inorganics.MN,inorganics.SE,inorganics.I,inorganics.RET,inorganics.CAREQU,inorganics.RETEQU,inorganics.VITD,inorganics.VITE,inorganics.VITK1,inorganics.THIA,inorganics.RIBO,inorganics.NIAC,inorganics.TRYP60,inorganics.NIACEQU,inorganics.VITB6,inorganics.VITB12,inorganics.FOLT,inorganics.PANTO,inorganics.BIOT,inorganics.VITC,vitamin_fractions.ALTRET,vitamin_fractions.13CISRET,vitamin_fractions.DEHYRET,vitamin_fractions.RETALD,vitamin_fractions.ACAR,vitamin_fractions.BCAR,vitamin_fractions.CRYPT,vitamin_fractions.LUT,vitamin_fractions.LYCO,vitamin_fractions.25OHD3,vitamin_fractions.VITD3,vitamin_fractions.5METHF,vitamin_fractions.ATOPH,vitamin_fractions.BTOPH,vitamin_fractions.DTOPH,vitamin_fractions.GTOPH,vitamin_fractions.ATOTR,vitamin_fractions.GTOTR,SFA.FOD4,SFA.FOD6,SFA.FOD8_0,SFA.FOD10_0,SFA.FOD11_0xb,SFA.FOD12_0,SFA.FOD12_0xb,SFA.FOD13_0,SFA.FOD13_0xb,SFA.FOD14_0,SFA.FOD14_0xb,SFA.FOD15_0,SFA.FOD15_0xb,SFA.FOD16_0,SFA.FOD16_0xb,SFA.FOD17_0,SFA.FOD17_0xb,SFA.FOD18_0,SFA.FOD18_0xb,SFA.FOD19_0,SFA.FOD20_0,SFA.FOD20_0xb,SFA.FOD22_0,SFA.FOD22_0xb,SFA.FOD24_0,SFA.FOD24_0xb,SFA.FOD25_0xb,MUFA.FOD10_1,MUFA.FOD10_1c,MUFA.FOD12_1,MUFA.FOD12_1c,MUFA.FOD14_1,MUFA.FOD14_1c,MUFA.FOD15_1,MUFA.FOD15_1c,MUFA.FOD16_1,MUFA.FOD16_1c,MUFA.FOD17_1,MUFA.FOD17_1c,MUFA.FOD18_1,MUFA.FOD18_1c,MUFA.FOD18_1n9,MUFA.FOD18_1n7,MUFA.FOD20_1,MUFA.FOD20_1c,MUFA.FOD22_1,MUFA.FOD22_1c,MUFA.FOD22_1n11,MUFA.FOD22_1n9,MUFA.FOD24_1,MUFA.FOD24_1c,MUFA.MONOFODtr,PUFA.FOD16_2,PUFA.FOD16_2c,PUFA.FOD16_3,PUFA.FOD16_4,PUFA.FOD16_4c,PUFA.FOD16 poly,PUFA.FOD18_2,PUFA.FOD18_2cn6,PUFA.FOD18_3,PUFA.FOD18_3cn3,PUFA.FOD18_3cn6,PUFA.FOD18_4,PUFA.FOD18_4cn3,PUFA.FOD18 poly,PUFA.FOD20_2,PUFA.FOD20_2cn6,PUFA.FOD20_3,PUFA.FOD20_3cn6,PUFA.FOD20_4,PUFA.FOD20_4cn6,PUFA.FOD20_5,PUFA.FOD20_5cn3,PUFA.FOD20 poly,PUFA.FOD21_5,PUFA.FOD21_5cn3,PUFA.FOD22_2,PUFA.FOD22_2cn6,PUFA.FOD22_3cn6,PUFA.FOD22_4,PUFA.FOD22_4cn6,PUFA.FOD22_5,PUFA.FOD22_5cn3,PUFA.FOD22_6,PUFA.FOD22_6cn3,PUFA.FOD22 poly,PUFA.POLYFODtr,phytosterols.TotalPHYTO,phytosterols.OtherCHOLandPHYTO,phytosterols.PHYTO,phytosterols.BSITPHYTO,phytosterols.BRASPHYTO,phytosterols.CAMPHYTO,phytosterols.D5AVEN,phytosterols.D7AVEN,phytosterols.D7STIG,phytosterols.STIGPHYTO,organic_acids.CITA
14-296,"Melon, watermelon, flesh only",Literature sources;,FA,14-165 50-925 ,"Reviewed 2013. Fruit and Nut Supplement (1992), 14-165, with carotenoid data from LGC 'Determination of cis carotenoids in foodstuffs' 1997. Vitamin K1 Bolton-Smith et al, Br.J. Nutr 83, 2000",,1,,,6.25,0.8,92.3,0.07,0.5,0.3,7.1,31,133,0,,7.1,1.3,,2.3,3.4,0,0,0,0.1,N,,0.1,,,,,,,,0.1,,,,0.1,,,,,,0,0,2,100,7,8,9,0.30,0.03,0.2,N,Tr,Tr,Tr,0,116,19,0.0,0.10,0.30,0.05,0.01,0.1,Tr,0.1,0.14,0.0,2,0.21,1.0,8,,,,,0,116,0,0,4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
14-309,"Melon, watermelon, flesh only, weighed whole",Calculated from 14-296,FA,14-166 ,"As Fruit and Nuts Supplement (1992) 14-166 with carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997, Food Surveillance Information sheet No.104. Vitamin K1 calc from Bolton-Smith et al, Br.J. Nutr 83, 2000",,0.57,,,,,52.6,0.04,0.3,0.2,4,18,77,0,,4,0.7,,1.3,1.9,0,0,0,0.1,,,Tr,,,,,,,,0.1,,,,0.1,,,,,,0,0,1,57,4,5,5,0.20,0.02,0.1,N,Tr,Tr,Tr,0,66,11,0.0,0.06,0.17,0.03,0.01,0.1,Tr,0.1,0.08,0.0,1,0.12,0.6,5,,,,,0,66,0,0,2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
14-328,"Melon, yellow flesh, flesh only","22 samples, Honeydew, autumn and winter, whole and pre-prepared slices",FA,14-162 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.58,,,6.25,,91,0.08,0.5,0.1,6.8,29,122,0,,6.8,1.7,Tr,2.5,2.6,0,0,0,0.4,0.7,,0.03,,,,,,,,Tr,,,,0.05,,,,,,0,0,11,180,6,6,6,0.18,0.02,0.1,97,0.02,Tr,Tr,0,7,1,0.0,0.07,,0.07,0.01,0.4,0.1,0.5,0.07,0.0,13,0.24,2.6,8,,,,,Tr,7,Tr,Tr,Tr,,,,0.07,Tr,Tr,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-517,"Meringue, homemade",Without cream. Recipe,BR,12-414 ,Updated 2013,,1,,,,,1.2,1.01,6.3,Tr,96,385,1643,0,,96,Tr,0,0,96,0,0,0,0,0,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0,113,92,13,9,8,0.19,0.12,0.1,93,Tr,5,2,0,0,0,0.0,0.00,,0.01,0.21,Tr,1.6,1.6,0.02,0.2,3,0.12,3.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-585,"Meringue, with cream, homemade",Recipe. Ref. Wiles et al. (1980),BR,12-415 ,Updated 2014,,1,,,,,46.3,0.46,2.9,24.2,27.2,331,1379,0,,27.2,Tr,,0,25.6,0,1.6,,0,0,,15.14,,,,,,,,7.01,,,,0.68,,,,,,N,63,45,76,38,6,38,0.05,0.03,0.1,60,Tr,N,N,239,148,264,0.2,0.79,,0.01,0.16,Tr,0.7,0.7,0.03,0.2,5,0.16,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-628,"Methi aloo, homemade","6 samples, fenugreek and potatoes",DR,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,1,,,6.25,,71,0.43,2.7,10.4,10.1,142,592,8.6,,1.5,0.6,0,0.7,0.2,0,0,0,1.3,2.9,,1.06,,,,,,,,4.89,,,,3.88,,,,,,Tr,4.7,537,342,70,26,53,1.69,0.11,0.3,N,N,Tr,N,Tr,832,139,0.0,4.21,,0.01,0.21,0.3,N,N,0.10,0.0,24,N,N,4,,,,,,832,Tr,2860,55,,,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1091,"Milk bread, homemade",Recipe,AF,11-629 ,Updated 2014,,1,,,,,34.5,1.51,8.8,7,50.8,289,1221,48.7,,2.1,Tr,,Tr,0.2,Tr,1.8,,1.9,2,,2.47,,,,,,,,2.82,,,,1.12,,,,,,0.04,3.1,76,187,131,22,131,1.39,0.15,0.8,177,0.41,6,N,N,56,N,N,N,,0.17,0.16,1.5,1.7,3.2,0.11,0.3,55,0.47,4.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-513,"Milk drink, fermented, with probiotics","Including Yakult, Danone, Muller and own brand yogurt drinks",BH,,"Industry data, 2013",,1,,,6.38,0.945,83,0.47,3,1.2,12.7,70,299,0.4,,12.3,N,N,N,N,N,N,0,N,0.1,,0.78,,,,,,,,N,,,,N,,,,,,N,N,20,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-733,"Milk shake, powder","6 samples (Nesquik), 3 flavours",PAA,12-104 ,"Milk Products and Eggs Supplement, 1989; and  2013 industry data updates for inorganics that are fortified in some products",,1,,,6.25,,0.5,0.21,1.3,1.6,98.3,388,1654,Tr,,98.3,0.1,0,0,95.2,2.8,0.2,0,0,0,,N,,,,,,,,N,,,,N,,,,,,N,Tr,20,150,8,N,N,N,0.10,0.4,27,0.20,N,32,N,Tr,N,7.1,0.15,,1.20,N,25.0,0.3,25.3,1.80,0.0,200,N,N,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-589,"Milk shake, powder, made up with semi-skimmed milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-445 ,Updated 2014,,1,,,,,83.2,0.52,3.3,1.7,11.2,70,297,Tr,,11.2,0,,0,6.6,0.2,4.4,0,0,0,,N,,,,,,,,N,,,,N,,,,,,N,5.5,41,156,112,N,N,N,0.01,0.4,83,0.01,N,31,N,8,N,0.5,0.05,,0.11,N,1.9,0.6,2.5,0.18,0.8,22,N,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-590,"Milk shake, powder, made up with skimmed milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-446 ,Updated 2014,,1,,,,,84.5,0.53,3.3,0.3,11.3,59,250,Tr,,11.3,0,,0,6.6,0.2,4.4,0,0,0,,N,,,,,,,,N,,,,N,,,,,,N,3.4,43,161,117,N,N,N,0.01,0.5,83,0.01,N,30,N,Tr,N,0.5,0.01,0.02,0.11,N,1.9,0.6,2.5,0.18,0.8,22,N,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-591,"Milk shake, powder, made up with whole milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-444 ,Updated 2014,,1,,,,,81.5,0.51,3.3,3.5,11.1,86,362,Tr,,11.1,0,,0,6.6,0.2,4.2,0,0,0,,N,,,,,,,,N,,,,N,,,,,,N,11.2,40,157,112,N,N,N,0.01,0.5,85,0.01,N,31,N,13,N,0.5,0.07,0.56,0.11,N,1.9,0.6,2.5,0.18,0.8,21,N,N,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-512,"Milk, 1% fat, pasteurised",Average of skimmed (12-307) and semi-skimmed (12-313) milk,BA,,"ADAS Laboratories, Nutrient analysis of pasteurised liquid milk, 1995-1996; and industry data, 2013",,1,,,6.38,0.945,90.1,0.55,3.5,1,4.8,41,173,0,,4.8,0,0,0,0,0,4.8,0,0,0,,0.6,,0.03,,0.01,,,,0.23,,,,0.04,,0.6,,0,,Tr,4.8,44,159,123,11,95,0.03,Tr,0.5,87,Tr,1,30,8,5,9,Tr,0.02,,0.03,0.23,0.1,0.7,0.8,0.06,0.9,9,0.59,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-321,"Milk, Channel Islands, whole, pasteurised","Breakfast milk, average of 6 samples of summer and winter milk",BAB,12-885 12-078 50-194 ,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fatty acids as Fatty Acids Supplement 12-885; Vitamin K1 Bolton-Smith et al. Br J Nutr 83 2000",,1,,,6.38,0.945,86.6,0.56,3.5,4.7,4.3,72,302,0,0,4.3,0,0,0,0,0,4.3,0,0,0,,3.02,1.89,0.08,0.73,0.03,22.51,1,,1.13,2.91,0.13,,0.16,68.1,3.02,2.05,0.09,3.45,0.15,15.9,39,131,129,12,106,Tr,0.01,0.4,100,0.01,1,29,35,41,42,0.1,0.17,0.87,0.04,0.22,0.1,0.6,0.6,0.03,0.8,6,0.38,1.9,1,,,,,,,,,,,,,,,,,,,0.19,0.11,0.06,0.13,,0.15,,,,0.48,,0.05,,1.30,,0.03,,0.50,,,0.01,,0.00,,0.00,,,,0.01,,0.00,,0.03,,0.00,,0.07,,0.01,,0.86,0.80,0.12,,0.01,,0.00,0.00,0.00,,0.00,0.13,,,,,,,,0.08,,0.02,0.00,,0.00,,,,,0.00,,0.01,,0.00,,,,,,,,0.00,,Tr,,0.00,,0.03,,,,,,,,,,,
12-322,"Milk, Channel islands, whole, summer",3 samples,BAB,12-019 50-195 ,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fatty acids as Fatty Acids Supplement 12-885",,1,,,6.38,0.945,86.7,0.61,3.9,4.7,4.1,73,306,0,0,4.1,0,0,0,0,0,4.1,0,0,0,67.28,2.99,,,,,24.41,1.08,27.84,1.24,3.34,0.15,4.1,0.18,,,,,4.19,0.19,16,39,131,129,12,106,Tr,0.01,0.4,100,0.01,1,24,70,82,84,0.1,0.17,,0.04,0.22,0.1,0.6,0.6,0.03,0.8,6,0.38,1.9,1,63,9,,,Tr,82,,8,,,,,,,,,,,0.19,0.11,0.06,0.12,,0.14,,0.00,,0.44,,0.07,,1.18,,0.07,,0.56,,0.00,0.01,,0.00,,,,,0.01,,0.00,,0.03,,0.00,,0.07,,0.01,,1.08,,0.88,0.14,0.01,,0.00,,0.00,,0.00,,,,,,,,,0.15,0.08,0.04,0.03,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,,,0.00,,,,,Tr,Tr,0.1,,,,,
12-323,"Milk, Channel islands, whole, winter",3 samples,BAB,12-019 50-195 ,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fatty acids as Fatty Acids Supplement 12-885",,1,,,6.38,0.945,86.5,0.5,3.2,4.7,4.4,72,299,0,0,4.4,0,0,0,0,0,4.4,0,0,0,73.2,3.25,,,,,20.79,0.92,23.05,1.02,2.75,0.12,3.19,0.14,,,,,2.7,0.12,15.7,39,131,129,12,106,Tr,0.01,0.4,100,0.01,1,34,Tr,Tr,Tr,0.1,0.17,,0.04,0.22,0.1,0.6,0.6,0.03,0.8,6,0.38,1.9,Tr,,,,,,,,,,,,,,,,,,,0.19,0.11,0.06,0.14,,0.17,,0.00,,0.51,,0.08,,1.44,,0.07,,0.45,,0.00,0.01,,0.00,,0.00,,,0.01,,0.00,,0.04,,0.00,,0.00,,0.01,,0.87,,0.72,0.10,0.01,,0.00,,0.00,,0.01,,,,,,,,,0.12,0.07,0.03,0.02,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Tr,Tr,0.1,,,,,
12-520,"Milk, condensed, whole, sweetened","10 cans, 2 brands",BAR,12-029 ,"Milk Products and Eggs Supplement, 1989; Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1,,,6.38,0.945,29.1,1.16,7.4,8,55.5,310,1310,0,,55.5,0,0,0,43.2,0,12.3,0,0,0,,4.99,,,,,,,,2.3,,,,0.24,,,,,,N,29,90,360,290,29,240,0.23,Tr,1.0,150,Tr,3,74,110,70,122,Tr,0.19,0.36,0.09,0.46,0.3,2.0,2.3,0.07,0.7,15,0.85,3.9,4,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-324,"Milk, evaporated, light","7 samples, 4 brands",BAR,12-890 ,"Reviewed 2013. LGC, Nutrient analysis of other milk and cream, 1998; fatty acids from Fatty Acids Supplement (1998) 12-890",,1,,,6.38,0.945,75.9,1.22,7.8,4.1,10.3,107,449,0,0,10.3,0,0,0,0,0,10.3,0,0,0,67.07,2.5,1.9,0.07,0.94,0.04,24.72,0.96,28.07,1.09,2.94,0.11,3.87,0.15,64.62,2.5,2.39,0.09,4.28,0.17,16.9,115,336,260,25,233,Tr,Tr,1.0,222,Tr,3,47,50,21,53,3.1,0.11,,0.07,0.42,0.2,2.0,2.2,0.04,0.2,8,0.75,4.0,1,40,13,,,Tr,21,,,,,,,0.11,Tr,Tr,Tr,,,0.17,0.09,0.05,0.11,,0.13,,,,0.40,,0.04,,1.04,,0.03,,0.42,,,0.01,,0.00,,0.00,,,,0.01,,0.00,,0.04,,0.00,,0.06,,0.01,,0.82,0.78,0.12,,0.01,,0.00,0.00,0.00,,0.00,0.13,,,,,,,,0.06,,0.02,0.00,,0.00,,,,,0.00,,0.01,,0.00,,,,,,,,0.00,,Tr,,0.00,,0.04,,,,,,,,,,,
12-522,"Milk, evaporated, whole","12 samples, Ideal, Carnation and own brands",BAR,12-033 ,"Milk Products and Eggs Supplement, 1989; and industry data, 2013.  Vitamin K1 from Bolton-Smith et al, Br J Nutr, 83, 2000",,1,,,6.38,0.945,69.1,1.32,8.4,9.4,12.7,166,694,0,,12.7,0,0,0,0,0,12.7,0,0,0,,5.9,,,,,,,,2.7,,,,0.3,,,,,,N,34,180,360,290,29,260,0.26,0.02,0.9,250,Tr,3,11,105,100,122,2.7,0.19,0.50,0.07,0.42,0.2,2.0,2.2,0.07,0.1,11,0.75,4.0,1,93,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-535,"Milk, flavoured, pasteurised, chocolate","9 samples, 6 brands, including low fat, semi-skimmed",BAR,12-325 ,"LGC, Nutrient analysis of other milk and cream, 1998; and industry data, 2013. Fats calculated based on 12-034 proportions, vitamins as 12-034.",,1,1.06,,6.38,0.945,82.8,0.56,3.6,1.5,11.7,72,305,0.3,0.4,11,Tr,0,1.7,2.8,1.1,5.5,0,0,0,69.83,0.99,,,,,18.45,0.26,26.25,0.37,3.01,0.04,3.46,0.05,,,,0,8.25,0.12,7,45,206,115,19,107,0.62,0.06,0.5,110,0.06,N,N,20,8,21,Tr,0.03,,0.03,0.17,0.1,0.8,0.9,0.03,0.1,2,0.30,2.2,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-326,"Milk, flavoured, pasteurised, strawberry, banana","10 samples, 6 brands, including low fat and semi-skimmed",BAR,12-034 12-837 50-203 ,"Reviewed 2013. LGC, Nutrient analysis of other milk and cream, 1998. Vitamins values as 12-034, fatty acids from 12-837.",,1,1.06,,6.38,0.945,83.9,0.57,3.6,1.5,9.6,64,270,0.2,0.5,8.9,Tr,0,Tr,3.9,0.1,4.9,0,0,0,72.8,1.02,1.94,0.03,1.06,0.01,21.7,0.31,23.64,0.34,2.97,0.04,3.55,0.05,70.43,1,0,0,2.52,0.04,7,52,168,120,12,102,0.13,Tr,0.4,110,Tr,N,N,20,8,21,Tr,0.03,,0.03,0.17,0.1,0.8,0.9,0.03,0.1,2,0.30,2.2,Tr,,,,,,,,,,,,,,,,,,,0.06,0.03,0.02,0.04,,0.05,,,,0.16,,0.02,,0.43,,0.01,,0.16,,,0.00,,0.00,,0.00,,,,0.00,,0.00,,0.01,,0.00,,0.02,,0.00,,0.26,0.24,0.03,,0.00,,0.00,0.00,0.00,,0.00,0.03,,,,,,,,0.02,,0.01,0.00,,0.00,,,,,0.00,,0.00,,0.00,,,,,,,,0.00,,Tr,,0.00,,0.01,,,,,,,,,,,
12-328,"Milk, goats, pasteurised",20 samples from one herd and literature sources,BC,12-037 12-838 50-204  ,"Reviewed 2013. Milk Products and Eggs Supplement, 1989; and Fatty Acids Supplement (1998) 12-838. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1,,,6.38,0.945,88.9,0.49,3.1,3.7,4.4,62,260,0,,4.4,0,0,0,0,0,4.4,0,0,0,,2.37,3.8,0.13,0.8,0.03,21.7,0.83,,0.94,3.6,0.13,,0.16,67.7,2.37,0.3,0.01,4.1,0.14,11,42,170,100,13,90,0.12,0.03,0.5,150,Tr,N,N,44,Tr,44,0.1,0.03,0.53,0.03,0.04,0.1,0.7,0.8,0.06,0.1,1,0.41,3.0,1,,,,,,,,,,,,,,,,,,,0.07,0.08,0.09,0.29,,0.16,,,,0.35,,0.05,,0.93,,0.02,,0.31,,,0.01,,0.01,,0.00,,,,0.00,,0.00,,0.00,,0.00,,0.05,,0.01,,0.76,0.75,0.00,,0.00,,0.01,0.00,0.01,,0.00,0.11,,,,,,,,0.10,,0.03,0.00,,0.00,,,,,0.00,,0.00,,0.00,,,,,,,,0.00,,0.00,,0.00,,0.03,,,,,,,,,,,
12-038,"Milk, human, colostrum",Literature sources,BC,50-205 ,"Milk Products and Eggs Supplement, 1989",,1,,,,,88.2,0.31,2,2.6,6.6,56,236,0,,6.6,0,0,0,0,0,6.6,0,0,,,1.1,,,,,,,,1.1,,,,0.3,,,,,,N,31,47,70,28,3,14,0.07,0.05,0.6,N,Tr,N,N,155,135,178,N,1.30,,Tr,0.03,0.1,0.7,0.8,Tr,0.1,2,0.12,Tr,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-536,"Milk, human, mature",Literature sources,BC,12-040 ,"Department of Health and Social Security (1977) The composition of mature human milk. Report on Health and Social Subjects No 12, HMSO, London.  Fatty acids from Institute of Brain Chemistry, FA 12-839",,1,,,,,87.1,0.31,1.3,4.1,7.2,69,289,0,,7.2,0,0,0,0,0,7.2,,0,0,,1.92,N,0.41,N,0.08,N,1.47,,1.47,N,0.49,,0.49,N,1.92,0,0,N,0,16,15,58,34,3,15,0.07,0.04,0.3,42,Tr,1,7,58,24,62,N,0.34,,0.02,0.03,0.2,0.5,0.7,0.01,Tr,5,0.25,0.7,4,,,,,,,,,,,,,,,,,,,0.00,0.00,,0.06,,,0.09,,,,0.23,,0.00,,1.12,,0.00,,0.38,,,0.02,,0.01,,0.01,,,0.00,,0.00,,0.00,,0.00,,0.12,,0.00,,1.32,1.32,0.00,,0.02,,0.00,0.00,0.00,,0.01,0.00,,,,,,,,0.36,,0.03,0.00,,0.00,,,0.01,,0.01,,0.02,,0.02,,,,,,,,Tr,,0.01,,0.02,,0.00,,,,,,,,,,,
12-039,"Milk, human, transitional","Mixed sample, 15 mothers at 10th day post partum and literature sources",BC,50-206 ,"As Milk Products and Eggs Supplement, 1989",,1,,,,,87.4,0.23,1.5,3.7,6.9,67,281,0,,6.9,0,0,0,0,0,6.9,0,0,,,1.5,,,,,,,,1.5,,,,0.5,,,,,,N,24,30,57,25,3,16,0.07,0.04,0.3,86,Tr,2,N,85,37,91,N,0.48,,0.01,0.03,0.1,0.5,0.6,Tr,0.0,3,0.20,0.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
